FORM 20,FINAL RESULT SHEET,ELECTION TO THE LEGISLATIVE ASSEMBLY 2023,MADHYA PRADESH
Constituency: Bhopal Madhya (153),Total Polling Stations: 160

Polling Station No.,Name of Polling Station,Dhruv Narayan Singh (BJP),Arif Masood (INC),Shailendra Shrivastava (BSP),Kapil Sharma (IND),NOTA,Total Valid Votes Polled,Rejected Votes,Tendered Votes
19,"Subhash Higher Secondary School, Left Wing, Shivaji Nagar",333,332,15,20,8,708,0,0
20,"Government Primary School Building, Room No 1, Bairagarh",352,359,27,21,6,765,3,0
21,"Sanjay Gandhi Memorial School, Room No 3, Jahangirabad",394,543,37,32,12,1018,1,0
22,"Government Girls High School, East Wing, Aishbagh",352,552,38,31,11,984,0,0
23,"Navin High School, Northern Building, Chola",348,617,30,16,9,1020,3,0
24,"Anganwadi Kendra Center, Room 1, Kamla Nagar",383,428,33,31,9,884,0,0
25,"Government Girls High School, East Wing, Koh-e-Fiza",531,507,41,27,15,1121,0,0
26,"Navin High School, Northern Building, Arera Colony",398,200,31,14,5,648,3,0
27,"Municipal Corporation Office, Community Hall, MP Nagar",475,265,42,10,7,799,0,1
28,"Sanjay Gandhi Memorial School, Room No 3, Habibganj",429,205,18,18,7,677,1,1
29,"Government Girls High School, East Wing, Shivaji Nagar",536,503,49,32,10,1130,2,1
30,"Municipal Corporation Office, Community Hall, Bairagarh",468,449,36,30,8,991,2,0
31,"Government Primary School Building, Room No 1, Jahangirabad",330,500,21,23,8,882,1,1
32,"Government Girls High School, East Wing, Aishbagh",387,628,44,30,9,1098,0,1
33,"Government Girls High School, East Wing, Chola",444,582,60,35,7,1128,2,0
34,"Government Excellence School, Main Hall, Kamla Nagar",342,357,29,13,10,751,0,0
35,"Navin High School, Northern Building, Koh-e-Fiza",491,484,57,32,8,1072,3,1
36,"Government Primary School Building, Room No 1, Arera Colony",369,270,39,18,9,705,1,1
37,"Sanjay Gandhi Memorial School, Room No 3, MP Nagar",357,248,33,22,8,668,1,0
38,"Government Girls High School, East Wing, Habibganj",477,298,27,21,5,828,1,0
39,"Sanjay Gandhi Memorial School, Room No 3, Shivaji Nagar",497,492,63,37,10,1099,1,1
40,"Sanjay Gandhi Memorial School, Room No 3, Bairagarh",502,492,23,26,7,1050,3,1
41,"Anganwadi Kendra Center, Room 1, Jahangirabad",437,583,23,17,9,1069,0,1
42,"Government Excellence School, Main Hall, Aishbagh",345,556,51,19,5,976,2,0
43,"Anganwadi Kendra Center, Room 1, Chola",221,390,34,13,7,665,0,1
44,"Municipal Corporation Office, Community Hall, Kamla Nagar",341,368,32,27,9,777,1,1
45,"Navin High School, Northern Building, Koh-e-Fiza",313,318,29,19,4,683,2,1
46,"Navin High School, Northern Building, Arera Colony",485,279,21,19,12,816,1,1
47,"Navin High School, Northern Building, MP Nagar",566,297,25,30,9,927,2,1
48,"Subhash Higher Secondary School, Left Wing, Habibganj",501,289,42,32,10,874,0,1
49,"Government Excellence School, Main Hall, Shivaji Nagar",322,326,32,11,4,695,0,0
50,"Municipal Corporation Office, Community Hall, Bairagarh",400,417,33,32,9,891,3,1
51,"Navin High School, Northern Building, Jahangirabad",244,448,42,27,10,771,3,0
52,"Sanjay Gandhi Memorial School, Room No 3, Aishbagh",427,579,22,18,13,1059,3,0
53,"Subhash Higher Secondary School, Left Wing, Chola",358,558,32,32,9,989,3,1
54,"Sanjay Gandhi Memorial School, Room No 3, Kamla Nagar",475,460,50,35,7,1027,3,0
55,"Anganwadi Kendra Center, Room 1, Koh-e-Fiza",398,419,28,18,9,872,1,0
56,"Municipal Corporation Office, Community Hall, Arera Colony",498,302,18,18,8,844,3,0
57,"Municipal Corporation Office, Community Hall, MP Nagar",587,399,44,31,13,1074,3,1
58,"Government Primary School Building, Room No 1, Habibganj",613,407,58,41,9,1128,1,1
59,"Municipal Corporation Office, Community Hall, Shivaji Nagar",370,358,27,25,7,787,1,1
60,"Sanjay Gandhi Memorial School, Room No 3, Bairagarh",430,461,41,28,5,965,3,0
61,"Subhash Higher Secondary School, Left Wing, Jahangirabad",249,444,23,16,10,742,3,1
62,"Navin High School, Northern Building, Aishbagh",301,419,37,8,10,775,1,0
63,"Government Primary School Building, Room No 1, Chola",340,594,60,32,8,1034,3,0
64,"Municipal Corporation Office, Community Hall, Kamla Nagar",408,420,23,24,11,886,0,0
65,"Anganwadi Kendra Center, Room 1, Koh-e-Fiza",311,332,29,25,5,702,1,0
66,"Municipal Corporation Office, Community Hall, Arera Colony",414,223,32,23,8,700,0,1
67,"Navin High School, Northern Building, MP Nagar",560,345,33,35,13,986,0,1
68,"Government Excellence School, Main Hall, Habibganj",599,326,24,14,9,972,2,1
69,"Subhash Higher Secondary School, Left Wing, Shivaji Nagar",410,406,28,15,12,871,2,1
70,"Municipal Corporation Office, Community Hall, Bairagarh",475,495,37,11,14,1032,1,1
71,"Municipal Corporation Office, Community Hall, Jahangirabad",319,436,44,25,6,830,0,0
72,"Government Girls High School, East Wing, Aishbagh",287,416,37,22,8,770,3,1
73,"Government Primary School Building, Room No 1, Chola",245,401,21,21,6,694,2,1
74,"Government Excellence School, Main Hall, Kamla Nagar",399,386,26,11,5,827,0,0
75,"Municipal Corporation Office, Community Hall, Koh-e-Fiza",353,339,33,24,8,757,0,0
76,"Anganwadi Kendra Center, Room 1, Arera Colony",450,262,38,10,4,764,0,1
77,"Sanjay Gandhi Memorial School, Room No 3, MP Nagar",575,317,49,24,8,973,3,1
78,"Sanjay Gandhi Memorial School, Room No 3, Habibganj",600,449,44,39,10,1142,0,0
79,"Sanjay Gandhi Memorial School, Room No 3, Shivaji Nagar",337,351,16,12,7,723,3,0
80,"Navin High School, Northern Building, Bairagarh",417,394,38,20,9,878,0,0
81,"Municipal Corporation Office, Community Hall, Jahangirabad",331,590,26,15,5,967,0,1
82,"Subhash Higher Secondary School, Left Wing, Aishbagh",380,547,29,31,12,999,3,0
83,"Municipal Corporation Office, Community Hall, Chola",368,660,48,37,7,1120,0,0
84,"Sanjay Gandhi Memorial School, Room No 3, Kamla Nagar",516,519,26,39,12,1112,2,1
85,"Government Girls High School, East Wing, Koh-e-Fiza",399,408,50,21,8,886,0,0
86,"Navin High School, Northern Building, Arera Colony",598,346,25,41,14,1024,0,1
87,"Government Primary School Building, Room No 1, MP Nagar",609,341,45,36,6,1037,3,1
88,"Government Girls High School, East Wing, Habibganj",508,299,42,32,7,888,3,1
89,"Navin High School, Northern Building, Shivaji Nagar",525,487,26,19,6,1063,3,0
90,"Subhash Higher Secondary School, Left Wing, Bairagarh",378,411,40,22,8,859,0,0
91,"Anganwadi Kendra Center, Room 1, Jahangirabad",314,532,54,24,5,929,1,0
92,"Anganwadi Kendra Center, Room 1, Aishbagh",305,555,29,35,6,930,0,0
93,"Subhash Higher Secondary School, Left Wing, Chola",423,615,33,38,16,1125,1,1
94,"Sanjay Gandhi Memorial School, Room No 3, Kamla Nagar",377,407,43,12,4,843,3,1
95,"Anganwadi Kendra Center, Room 1, Koh-e-Fiza",455,513,58,29,12,1067,1,1
96,"Subhash Higher Secondary School, Left Wing, Arera Colony",453,302,28,30,11,824,1,1
97,"Municipal Corporation Office, Community Hall, MP Nagar",662,324,53,33,13,1085,3,0
98,"Subhash Higher Secondary School, Left Wing, Habibganj",619,413,51,42,16,1141,3,0
99,"Subhash Higher Secondary School, Left Wing, Shivaji Nagar",307,302,30,9,6,654,2,1
100,"Navin High School, Northern Building, Bairagarh",433,459,47,26,14,979,3,0
101,"Government Girls High School, East Wing, Jahangirabad",265,432,42,22,6,767,0,0
102,"Subhash Higher Secondary School, Left Wing, Aishbagh",266,423,15,23,5,732,2,1
103,"Sanjay Gandhi Memorial School, Room No 3, Chola",280,438,39,11,4,772,3,0
104,"Subhash Higher Secondary School, Left Wing, Kamla Nagar",518,506,51,27,13,1115,3,1
105,"Sanjay Gandhi Memorial School, Room No 3, Koh-e-Fiza",313,316,30,20,6,685,2,1
106,"Anganwadi Kendra Center, Room 1, Arera Colony",447,265,16,14,5,747,2,1
107,"Government Primary School Building, Room No 1, MP Nagar",696,376,22,39,14,1147,0,1
108,"Anganwadi Kendra Center, Room 1, Habibganj",616,356,33,28,11,1044,1,0
109,"Government Primary School Building, Room No 1, Shivaji Nagar",392,362,29,11,11,805,2,1
110,"Sanjay Gandhi Memorial School, Room No 3, Bairagarh",325,351,44,19,10,749,1,1
111,"Subhash Higher Secondary School, Left Wing, Jahangirabad",433,644,36,14,15,1142,1,0
112,"Navin High School, Northern Building, Aishbagh",450,635,26,24,8,1143,0,1
113,"Government Excellence School, Main Hall, Chola",389,531,35,29,8,992,1,1
114,"Government Primary School Building, Room No 1, Kamla Nagar",450,441,53,15,5,964,3,1
115,"Navin High School, Northern Building, Koh-e-Fiza",310,352,23,17,4,706,1,1
116,"Subhash Higher Secondary School, Left Wing, Arera Colony",474,292,45,17,9,837,1,1
117,"Government Girls High School, East Wing, MP Nagar",626,365,62,11,9,1073,3,1
118,"Municipal Corporation Office, Community Hall, Habibganj",588,412,35,38,11,1084,0,1
119,"Anganwadi Kendra Center, Room 1, Shivaji Nagar",344,350,38,9,5,746,0,0
120,"Government Excellence School, Main Hall, Bairagarh",360,358,21,26,7,772,1,0
121,"Government Excellence School, Main Hall, Jahangirabad",336,643,21,37,6,1043,1,1
122,"Sanjay Gandhi Memorial School, Room No 3, Aishbagh",283,376,15,25,5,704,2,0
123,"Sanjay Gandhi Memorial School, Room No 3, Chola",245,472,32,25,7,781,2,0
124,"Subhash Higher Secondary School, Left Wing, Kamla Nagar",393,424,44,33,10,904,2,1
125,"Government Primary School Building, Room No 1, Koh-e-Fiza",319,320,24,8,8,679,3,0
126,"Government Girls High School, East Wing, Arera Colony",499,255,25,24,8,811,2,1
127,"Anganwadi Kendra Center, Room 1, MP Nagar",513,300,45,11,10,879,1,1
128,"Subhash Higher Secondary School, Left Wing, Habibganj",638,387,44,26,6,1101,3,1
129,"Anganwadi Kendra Center, Room 1, Shivaji Nagar",398,393,32,10,4,837,3,0
130,"Government Excellence School, Main Hall, Bairagarh",475,481,64,29,13,1062,3,1
131,"Navin High School, Northern Building, Jahangirabad",460,569,35,21,6,1091,1,0
132,"Subhash Higher Secondary School, Left Wing, Aishbagh",304,411,32,10,5,762,1,1
133,"Government Primary School Building, Room No 1, Chola",369,538,27,13,10,957,2,1
134,"Government Excellence School, Main Hall, Kamla Nagar",299,304,32,8,8,651,0,0
135,"Municipal Corporation Office, Community Hall, Koh-e-Fiza",384,389,30,27,11,841,0,0
136,"Sanjay Gandhi Memorial School, Room No 3, Arera Colony",460,227,17,17,6,727,3,1
137,"Anganwadi Kendra Center, Room 1, MP Nagar",471,237,28,14,8,758,3,1
138,"Government Primary School Building, Room No 1, Habibganj",445,280,15,14,5,759,1,1
139,"Anganwadi Kendra Center, Room 1, Shivaji Nagar",367,396,32,11,8,814,1,1
140,"Government Girls High School, East Wing, Bairagarh",412,377,18,32,11,850,3,1
141,"Navin High School, Northern Building, Jahangirabad",279,448,29,30,9,795,2,0
142,"Navin High School, Northern Building, Aishbagh",364,644,42,14,15,1079,2,0
143,"Government Excellence School, Main Hall, Chola",354,622,27,28,15,1046,2,1
144,"Sanjay Gandhi Memorial School, Room No 3, Kamla Nagar",354,370,22,12,10,768,0,0
145,"Subhash Higher Secondary School, Left Wing, Koh-e-Fiza",401,410,32,32,9,884,2,1
146,"Sanjay Gandhi Memorial School, Room No 3, Arera Colony",498,324,30,17,5,874,0,1
147,"Subhash Higher Secondary School, Left Wing, MP Nagar",493,316,29,27,13,878,0,1
148,"Subhash Higher Secondary School, Left Wing, Habibganj",527,337,49,20,11,944,1,1
149,"Subhash Higher Secondary School, Left Wing, Shivaji Nagar",416,421,23,35,8,903,0,0
150,"Government Primary School Building, Room No 1, Bairagarh",348,368,30,21,6,773,2,1
151,"Navin High School, Northern Building, Jahangirabad",356,598,53,30,5,1042,0,1
152,"Anganwadi Kendra Center, Room 1, Aishbagh",282,422,41,26,6,777,1,1
153,"Anganwadi Kendra Center, Room 1, Chola",424,650,28,35,6,1143,3,1
154,"Sanjay Gandhi Memorial School, Room No 3, Kamla Nagar",436,459,56,35,5,991,3,1
155,"Government Primary School Building, Room No 1, Koh-e-Fiza",366,407,28,27,5,833,1,0
156,"Government Girls High School, East Wing, Arera Colony",485,238,39,27,10,799,0,1
157,"Sanjay Gandhi Memorial School, Room No 3, MP Nagar",551,306,51,32,12,952,1,1
158,"Government Primary School Building, Room No 1, Habibganj",469,307,48,23,10,857,3,0
159,"Municipal Corporation Office, Community Hall, Shivaji Nagar",371,371,43,12,9,806,3,1
160,"Anganwadi Kendra Center, Room 1, Bairagarh",459,478,60,35,13,1045,1,1
TOTAL,Grand Constituency Totals,66923,66325,4411,2762,1109,143999,88,14
